Title,Time (years),Yearly Wage (gp),Daily Wage (cp),Resources (gp),Skills,Leads
Vizier,7,300,820,210,"Administration, Bargaining, Bribery, Bureaucracy, Calligraphy, Church Law, Command, Composition, Doctrine, Faith, Falsehood, Foreign Languages, Geography, Heraldry, History, Inconspicuous, Logic, Mathematics, Observation, Oratory, Persuasion, Philosophy, Politics, Ritual, Theology, Ugly Truth, Write","Chancellor, Ambassador, Governor, Magistrate, Rogue Wizard, Spy Master, Thaumaturge, Heretic, Abbot"
Ward,4,25,60,10,"Bow, Boxing, Dance, Etiquette, Heraldry, Falconry, History, Knives, Musical Instrument, Read, Rhetoric, Riding, Sing, Shield, Sword, Write","Junior Student, Lady, Lord, Prisoner, Spy, Squire, Wizard's Apprentice, Young Lady"
Warlock,4,60,160,20,"Ancient Languages, Apothecary, Astrology, Bloodletting, Demonology, Falsehood, Herbalism, Heretical Doctrine, Intimidation, Knives, Occultism, Runic Charms, Spirit Binding, Symbology","Enchanter, Necromancer, Summoner, Sorcerer, Witch"
Watchman,6,35,90,20,"Brawling, Bribery, Conspicuous, Crossbow, Cudgel, Drinking, Extortion, Firebuilding, Fortifications, Gambling, Mace, Observation, Polearm, Spear, Shield","Constable, Sergeant, Smuggler, Veteran, Crossbowman"
Weaponsmith,6,45,120,25,"Axe, Appraisal, Armoury, Bargaining, Engraving, Firebuilding, Bartering, Hammer, Invention, Knives, Mending, Metallurgy, Smithing, Sword","Blacksmith, Master Craftsman, Forger, Merchant, Tradesman"
Weaver,6,25,60,15,"Bartering, Dyeing, Embroidery, Knots, Mending, Sewing, Symbology, Weaving","Leatherworker, Haberdasher, Master Craftsman, Ropemaker, Sailmaker, Tailor, Tradesman"
Whoremonger,6,60,160,35,"Appraisal, Bargaining, Brawling, Conspicuous, Falsehood, Gambling, Midwifery, Persuasion, Seduction, Smuggling","Barkeep, Cult Leader, Fence, Smuggler, Thug"
Witch,6,60,160,35,"Anatomy, Apothecary, Astrology, Aura Reading, Bloodletting, Dance, Demonology, Falsehood, Herbalism, Meteorology, Occultism, Poisons, Runic Charms, Seduction, Spirit Binding, Ugly Truth","Fertility Priestess, Apothecary, Diviner, Spirit Binder, Warlock"
Wizard of War,6,200,540,120,"Alchemy, Armoury, Bloodletting, Campaigning, Command, Demonology, Fortifications, Munitions, Read, Siege, Sorcery, Strategy, Summoning, Sword, Tactics, Write","Alchemist, Astrologer, Artificer, Guild Master, Major, Philosopher, Sorcerer"
Wizard's Apprentice,7,30,80,20,"Alchemy, Apothecary, Astronomy, Demonology, Enchanting, Housekeeping, Meteorology, Occultism, Read, Research, Sorcery, Runic Charms, Summoning, Staff, Symbology, Write","Adjunct Magus, Hedge Wizard, Senior Magus, Spellsword, Sorcerer"
Woodsman,5,20,50,10,"Axe, Bow, Camouflage, Carpentry, Cooking, Fishing, Firebuilding, Foraging, Navigation, Logging, Observation, Orienteering, Survival, Hauling","Forester, Florist, Henchman, Planter, Trapper, Carpenter, Hunter, Hedger"
Yeoman,9,100,270,90,"Accounting, Animal Handling, Appraisal, Bartering, Bow, Dance, Estate Management, Farming, Folklore, Foraging, Herding, Irrigation, Management, Politics, Spear","Alderman, Herald, Steward"
Young Lady,6,30,80,15,"Conspicuous, Dance, Diplomacy, Etiquette, Falsehood, Musical Instrument, Painting, Persuasion, Poetry, Politics, Read, Riding, Seduction, Sing, Write","Courtier, Governess, Lady, Bachelor of Medicine, Equestrian, Troubadour, Bard, Scientist"
Zealot,5,20,50,10,"Ancient Languages, Aura Reading, Bloodletting, Diplomacy, Doctrine, Heretical Doctrine, History, Intimidation, Leadership, Logic, Meditation, Persuasion, Politics, Preaching, Ritual, Symbology, Theology, Ugly Truth","Inquisitor, Missionary, Cult Leader, Chaplain, Heretic, Mystic, Demonologist, Crusader, Priest, Sorcerer, Covenanter, Assassin"
Horse Archer,4,50,130,20,"Acrobatics, Animal Handling, Bargaining, Bow, Camping, Crossbowman, Dance, Engineering, Falconry, Geography, Herbalism, Hunting, Invention, Marching, Navigation, Riding, Spear, Stealth, Survival","Hunter, Cavalryman, Nomad, Scout, Ranger, Mercenary, Bowyer, Farrier, Falconer, Merchant Adventurer, Captain, Nomadic Tradesman"
